intent,patterns,response_en,response_fr
greeting,"hi|hello|hey|hiya|howdy|good morning|good afternoon|good evening|good day|yo|sup|what's up|whats up|wassup|bonjour|salut|namaste|ola|bonjour travel buddy|hello travel buddy|hi travel buddy","Hey! I’m Travel Buddy 👋 How can I help you today?","Salut ! Je suis Travel Buddy 👋 Comment puis-je vous aider aujourd’hui ?"
greeting_followup,"how are you|how are you doing|how you doing|how's it going|hows it going|how is it going|you good|are you there|are you available","I’m doing great! 😄 Ready to help with Mauritius bookings. Want to book a hotel or a taxi?","Je vais très bien ! 😄 Prêt à vous aider pour des réservations à Maurice. Voulez-vous réserver un hôtel ou un taxi ?"
thanks,"thanks|thank you|thank u|thx|ty|thanks a lot|thank you so much|much appreciated|cheers|grateful|appreciate it|nice thanks|ok thanks","You’re welcome. 😊 Want to book a hotel or taxi, or ask something about Mauritius?","Avec plaisir 😊 Voulez-vous réserver un hôtel ou un taxi, ou poser une question sur Maurice ?"
goodbye,"bye|goodbye|see you|see you later|later|take care|good night|gn|ciao|au revoir|bye bye","Goodbye! 🌴 I remain at your disposal should you require further assistance.","Au revoir ! 🌴 Je reste à votre disposition si vous avez besoin d’aide."
help,"help|help me|can you help|need help|support|how does this work|how to use|what can you do|what can you do for me|what do you do|features|commands|options|menu","I can help you book a hotel 🏨 or taxi 🚕 in Mauritius. You can also ask travel questions.","Je peux vous aider à réserver un hôtel 🏨 ou un taxi 🚕 à Maurice. Vous pouvez aussi poser des questions de voyage."
capabilities,"what can i book|what bookings do you do|what services do you offer|can you book|do you book hotels|do you book taxis|can you book a taxi|can you book a hotel","I can book hotels 🏨 and taxis 🚕 in Mauritius. Type “book hotel” or “book taxi” to begin.","Je peux réserver des hôtels 🏨 et des taxis 🚕 à Maurice. Tapez « réserver un hôtel » ou « réserver un taxi » pour commencer."
book_hotel,"book hotel|hotel booking|I want to book a hotel|reserve hotel|make a hotel booking|i need a hotel|need a hotel|find me a hotel|get me a hotel|hotel reservation|reserve a room|book a room|hotel in mauritius|accommodation booking|place to stay|stay booking","Sure, let’s book a hotel 🏨. I’ll ask a few details.","D’accord, réservons un hôtel 🏨. Je vais vous poser quelques questions."
book_taxi,"book taxi|taxi booking|I want to book a taxi|arrange a taxi|reserve taxi|make a taxi booking|i need a taxi|need a taxi|get me a taxi|taxi reservation|airport transfer|airport taxi|taxi to airport|pickup taxi|dropoff taxi|cab booking|book a cab|hire a taxi","Sure, let’s book a taxi 🚕. I’ll ask a few details.","D’accord, réservons un taxi 🚕. Je vais vous poser quelques questions."
restart,"restart|start over|reset|clear chat|new booking|begin again|fresh start","No problem! We can start fresh. Type “book hotel” or “book taxi” to restart.","Pas de souci ! On peut repartir de zéro. Tapez « réserver un hôtel » ou « réserver un taxi » pour recommencer."
cancel,"cancel|stop|never mind|never mind then|dont worry|don't worry|forget it|abort|exit|close|cancel booking","Okay. ✅ If you want to continue later, let me know.","D’accord ✅ Si vous voulez continuer plus tard, dites-le-moi."
affirmation,"yes|yeah|yep|yup|sure|ok|okay|alright|sounds good|go ahead|please do|correct|right|exactly","Got it! ✅ Tell me what you’d like to do next.","Compris ✅ Dites-moi ce que vous voulez faire ensuite."
negation,"no|nope|nah|not really|dont|don't|do not|not now|later|maybe later","Alright. 👍 If you change your mind, you can type “book hotel” or “book taxi”.","D’accord 👍 Si vous changez d’avis, vous pouvez taper « réserver un hôtel » ou « réserver un taxi »."
who_are_you,"who are you|what are you|are you a bot|are you real|what is travel buddy|your name|what's your name|whats your name","I’m Travel Buddy, your virtual assistant for hotel and taxi bookings in Mauritius.","Je suis Travel Buddy, votre assistant virtuel pour réserver des hôtels et des taxis à Maurice."
voice_help,"voice|voice input|microphone|mic|speech|talk to you|speak to you|how to use voice|can i talk","You can use Voice input 🎙️ to speak, and I can reply with voice too. Use the Mute button anytime.","Vous pouvez utiliser l’entrée vocale 🎙️ pour parler, et je peux aussi répondre avec la voix. Utilisez le bouton Muet quand vous voulez."
contact,"email|confirmation email|send email|will you email me|do you send emails","Yes! ✅ I send confirmation emails for sign-up and bookings to your registered email.","Oui ✅ J’envoie des e-mails de confirmation pour l’inscription et les réservations à votre adresse e-mail enregistrée."
